256
Atoms. Timestep: 66000
1 12.889 14.9 2.68786
1 12.8664 14.9017 6.77494
1 12.8877 14.9241 10.8537
1 12.9156 14.9309 14.9063
1 2.65214 0.6476 2.6701
1 2.66377 16.9028 6.78703
1 2.64016 0.632947 10.8504
1 2.68665 0.688815 14.9129
1 2.67584 4.70732 2.67864
1 2.6458 4.68834 6.77504
1 2.66127 4.71292 10.8356
1 2.7004 4.76478 14.9131
1 2.65163 8.79868 2.66001
1 2.68358 8.85145 6.75947
1 2.7091 8.83674 10.8649
1 2.67042 8.80081 14.9427
1 2.64752 12.8499 2.67096
1 2.65833 12.8817 6.75913
1 2.6675 12.9052 10.8772
1 2.66964 12.8998 14.8838
1 6.76638 0.652304 2.67121
1 6.77747 0.663597 6.7711
1 6.77375 0.645796 10.8401
1 6.77598 0.647982 14.9136
1 6.77668 4.74061 2.67411
1 6.7795 4.73975 6.76884
1 6.79323 4.7069 10.8552
1 6.79435 4.71537 14.9048
1 6.76744 8.78956 2.6828
1 6.74345 8.82483 6.76793
1 6.77303 8.82095 10.8397
1 6.8027 8.84913 14.9234
1 6.7363 12.8477 2.69433
1 6.79522 12.8933 6.78498
1 6.76946 12.8794 10.8125
1 6.74865 12.8947 14.9308
1 10.8369 0.669303 2.68765
1 10.8353 0.661886 6.77819
1 10.8654 0.659456 10.8385
1 10.8497 16.9435 14.9069
1 10.8254 4.6871 2.65531
1 10.8179 4.74117 6.76013
1 10.8471 4.70917 10.8306
1 10.8133 4.71401 14.8976
1 10.8372 8.80064 2.69726
1 10.8185 8.7924 6.76348
1 10.8527 8.81844 10.8241
1 10.8504 8.81241 14.8982
1 10.8418 12.8781 2.68175
1 10.8144 12.8402 6.77968
1 10.821 12.8865 10.8646
1 10.8595 12.9262 14.9216
1 14.9062 16.9536 2.67408
1 14.9023 16.9462 6.78686
1 14.9157 0.649524 10.847
1 14.9527 16.9806 14.9079
1 14.8851 4.70123 2.70673
1 14.914 4.7181 6.73808
1 14.9473 4.71431 10.8252
1 14.9136 4.7262 14.9321
1 14.893 8.79572 2.71103
1 14.9263 8.85012 6.76823
1 14.8973 8.83434 10.8533
1 14.8947 8.8274 14.9271
1 14.918 12.8609 2.70144
1 14.8944 12.8592 6.81847
1 14.918 12.8803 10.8595
1 14.9232 12.8826 14.9432
1 2.69148 2.71171 0.671188
1 2.671 2.66585 4.71047
1 2.65984 2.66033 8.81589
1 2.67213 2.70818 12.8758
1 2.67138 6.76303 0.660389
1 2.67242 6.75829 4.71427
1 2.67567 6.7751 8.82347
1 2.70579 6.78057 12.8716
1 2.67225 10.8329 0.61397
1 2.68828 10.8606 4.70846
1 2.68731 10.882 8.80757
1 2.67881 10.8012 12.9024
1 2.67937 14.9016 16.9478
1 2.65512 14.9185 4.71092
1 2.66801 14.898 8.82809
1 2.70311 14.9051 12.8642
1 6.76626 2.68645 16.9377
1 6.76873 2.68983 4.71429
1 6.74301 2.68838 8.81868
1 6.75474 2.65567 12.8883
1 6.78797 6.76412 0.661976
